date,nav
2018-04-18,1.0271
2018-04-19,1.0366
2018-04-20,1.2119
2018-04-21,1.0249
2018-04-22,1.0244
2018-04-23,1.0433
2018-04-24,1.0782
2018-04-25,1.1765
2018-04-26,1.1415
2018-04-27,1.1678
2018-04-28,1.1705
2018-04-29,1.1546
2018-04-30,1.1545
2018-05-01,1.1545
2018-05-02,1.1576
2018-05-03,1.1484
2018-05-04,1.1628
2018-05-05,1.146
2018-05-06,1.1459
2018-05-07,1.152
2018-05-08,1.1529
2018-05-09,1.152
2018-05-10,1.1335
2018-05-11,1.0934
2018-05-12,1.0931
2018-05-13,1.093
2018-05-14,1.0913
2018-05-15,1.0924
2018-05-16,1.0816
2018-05-17,1.0982
2018-05-18,1.1047
2018-05-19,1.1046
2018-05-20,1.1045
2018-05-21,1.1064
2018-05-22,1.1071
2018-05-23,1.1067
2018-05-24,1.099
2018-05-25,1.096
2018-05-26,1.0958
2018-05-27,1.0957
2018-05-28,1.0854
2018-05-29,1.2618
2018-05-30,1.3717
2018-05-31,1.1854
2018-06-01,1.1931
2018-06-02,1.1928
2018-06-03,1.1927
2018-06-04,1.1918
2018-06-05,1.1882
2018-06-06,1.1753
2018-06-07,1.1153
2018-06-08,1.1207
2018-06-09,1.1202
2018-06-10,1.1201
2018-06-11,1.1291
2018-06-12,1.1185
2018-06-13,1.1165
2018-06-14,1.1078
2018-06-15,1.123
2018-06-16,1.1225
2018-06-17,1.1224
2018-06-18,1.1223
2018-06-19,1.1296
2018-06-20,1.1407
2018-06-21,1.1722
2018-06-22,1.1713
2018-06-23,1.1715
2018-06-24,1.1714
2018-06-25,1.1822
2018-06-26,1.2013
2018-06-27,1.1875
2018-06-28,1.1874
2018-06-29,1.3089
2018-06-30,1.3101
2018-07-01,1.3018
2018-07-02,1.3118
2018-07-03,1.3064
2018-07-04,1.2808
2018-07-05,1.2608
2018-07-06,1.0327
2018-07-07,1.0308
2018-07-08,1.0307
2018-07-09,1.0341
2018-07-10,1.0257
2018-07-11,0.9812
2018-07-12,0.9804
2018-07-13,0.9545
2018-07-14,0.9537
2018-07-15,0.9536
2018-07-16,0.9565
2018-07-17,0.9507
2018-07-18,0.9422
2018-07-19,0.9486
2018-07-20,0.9555
2018-07-21,0.9551
2018-07-22,0.9551
2018-07-23,0.9592
2018-07-24,0.95
2018-07-25,0.9621
2018-07-26,0.9535
2018-07-27,0.9641
2018-07-28,0.9648
2018-07-29,0.9647
2018-07-30,0.9612
2018-07-31,0.9732
2018-08-01,0.9633
2018-08-02,0.9489
2018-08-03,0.9355
2018-08-04,0.935
2018-08-05,0.935
2018-08-06,0.929
2018-08-07,0.916
2018-08-08,0.9075
2018-08-09,0.8722
2018-08-10,0.8557
2018-08-11,0.8549
2018-08-12,0.8549
2018-08-13,0.8564
2018-08-14,0.8465
2018-08-15,1.059
2018-08-16,0.8427
2018-08-17,0.8313
2018-08-18,0.8313
2018-08-19,0.8313
2018-08-20,0.8404
2018-08-21,0.8485
2018-08-22,0.8457
2018-08-23,0.8393
2018-08-24,0.8463
2018-08-25,0.8462
2018-08-26,0.8461
2018-08-27,0.8429
2018-08-28,0.8441
2018-08-29,0.8399
2018-08-30,0.8422
2018-08-31,0.8429
2018-09-01,0.8133
2018-09-02,0.8133
2018-09-03,0.8347
2018-09-04,0.8319
2018-09-05,0.8287
2018-09-06,0.8217
2018-09-07,1.3658
2018-09-08,0.8045
2018-09-09,0.7944
2018-09-10,0.8128
2018-09-11,0.8163
2018-09-12,0.7972
2018-09-13,1.2923
2018-09-14,0.7778
2018-09-15,0.7775
2018-09-16,0.7775
2018-09-17,0.7812
2018-09-18,0.7826
2018-09-19,0.7837
2018-09-20,0.7823
2018-09-21,0.8135
2018-09-22,0.8123
2018-09-23,0.8123
2018-09-24,0.8122
2018-09-25,0.8009
2018-09-26,0.8196
2018-09-27,0.8288
2018-09-28,0.9183
2018-09-29,0.8234
2018-09-30,0.8233
2018-10-01,0.8233
2018-10-02,0.8233
2018-10-03,0.8232
2018-10-04,0.8232
2018-10-05,0.8231
2018-10-06,0.8231
2018-10-07,0.823
2018-10-08,0.8291
2018-10-09,0.7821
2018-10-10,0.7811
2018-10-11,0.8509
2018-10-12,0.7671
2018-10-13,0.7664
2018-10-14,0.7664
2018-10-15,0.7624
2018-10-16,0.7414
2018-10-17,0.7405
2018-10-18,0.7405
2018-10-19,1.3332
2018-10-20,0.7487
2018-10-21,0.7487
2018-10-22,0.7528
2018-10-23,0.7737
2018-10-24,0.7591
2018-10-25,0.759
2018-10-26,0.7569
2018-10-27,0.7567
2018-10-28,0.7567
2018-10-29,0.7573
2018-10-30,0.7273
2018-10-31,0.7299
2018-11-01,0.7276
2018-11-02,0.7281
2018-11-03,0.729
2018-11-04,0.729
2018-11-05,0.7291
2018-11-06,1.2096
2018-11-07,0.7248
2018-11-08,3.0533
2018-11-09,0.748
2018-11-10,0.7497
2018-11-11,0.7072
2018-11-12,0.7101
2018-11-13,0.7913
2018-11-14,0.7141
2018-11-15,0.7154
2018-11-16,0.7175
2018-11-17,0.7167
2018-11-18,0.7167
2018-11-19,0.7232
2018-11-20,0.7297
2018-11-21,0.7484
2018-11-22,0.9674
2018-11-23,0.873
2018-11-24,0.7305
2018-11-25,0.7155
2018-11-26,1.3078
2018-11-27,0.7495
2018-11-28,0.7441
2018-11-29,0.7531
2018-11-30,0.7537
2018-12-01,0.7539
2018-12-02,0.7539
2018-12-03,0.9819
2018-12-04,0.7632
2018-12-05,0.7703
2018-12-06,0.7632
2018-12-07,0.761
2018-12-08,0.761
2018-12-09,0.761
2018-12-10,0.7592
2018-12-11,0.7613
2018-12-12,0.7655
2018-12-13,0.7698
2018-12-14,0.7726
2018-12-15,0.7728
2018-12-16,0.7727
