date,nav
2022-06-17,1.0184
2022-06-20,1.0185
2022-06-21,1.0186
2022-06-22,1.0187
2022-06-23,1.0191
2022-06-24,1.0192
2022-06-27,1.0193
2022-06-28,1.0192
2022-06-29,1.0193
2022-06-30,1.0194
2022-07-01,1.0197
2022-07-04,1.0197
2022-07-05,1.0196
2022-07-06,1.0197
2022-07-07,1.0198
2022-07-08,1.02
2022-07-11,1.0203
2022-07-12,1.0207
2022-07-13,1.0211
2022-07-14,1.0215
2022-07-15,1.0225
2022-07-18,1.023
2022-07-19,1.0231
2022-07-20,1.0235
2022-07-21,1.0244
2022-07-22,1.0245
2022-07-25,1.0246
2022-07-26,1.0251
2022-07-27,1.0254
2022-07-28,1.0255
2022-07-29,1.0259
2022-08-01,1.0267
2022-08-02,1.0269
2022-08-03,1.0289
2022-08-04,1.0297
2022-08-05,1.0297
2022-08-08,1.0297
2022-08-09,1.0296
2022-08-10,1.0296
2022-08-11,1.0295
2022-08-12,1.0295
2022-08-15,1.0298
2022-08-16,1.0306
2022-08-17,1.0312
2022-08-18,1.0312
2022-08-19,1.0312
2022-08-22,1.0313
2022-08-23,1.0312
2022-08-24,1.0312
2022-08-25,1.0309
2022-08-26,1.031
2022-08-29,1.0313
2022-08-30,1.0313
2022-08-31,1.0314
2022-09-01,1.0314
2022-09-02,1.0315
2022-09-05,1.0318
2022-09-06,1.0319
2022-09-07,1.032
2022-09-08,1.032
2022-09-09,1.032
2022-09-13,1.0323
2022-09-14,1.0322
2022-09-15,1.0322
2022-09-16,1.0322
2022-09-19,1.0323
2022-09-20,1.0324
2022-09-21,1.0325
2022-09-22,1.0325
2022-09-23,1.0325
2022-09-26,1.0325
2022-09-27,1.0323
2022-09-28,1.0323
2022-09-29,1.0323
2022-09-30,1.0324
2022-10-10,1.0332
2022-10-11,1.0332
2022-10-12,1.0332
2022-10-13,1.0333
2022-10-14,1.0333
2022-10-17,1.0335
2022-10-18,1.0335
2022-10-19,1.0336
2022-10-20,1.0337
2022-10-21,1.0336
2022-10-24,1.0338
2022-10-25,1.0337
2022-10-26,1.0338
2022-10-27,1.0339
2022-10-28,1.0339
2022-10-31,1.0341
2022-11-01,1.0341
2022-11-02,1.0341
2022-11-03,1.0341
2022-11-04,1.0341
2022-11-07,1.0341
2022-11-08,1.0341
2022-11-09,1.034
2022-11-10,1.0338
2022-11-11,1.0334
2022-11-14,1.0321
2022-11-15,1.0319
2022-11-16,1.0314
2022-11-17,1.0314
2022-11-18,1.0315
2022-11-21,1.0319
2022-11-22,1.032
2022-11-23,1.0323
2022-11-24,1.0327
2022-11-25,1.0328
2022-11-28,1.0328
2022-11-29,1.0324
2022-11-30,1.0323
2022-12-01,1.0323
2022-12-02,1.0324
2022-12-05,1.0325
2022-12-06,1.0322
2022-12-07,1.0318
2022-12-08,1.0317
2022-12-09,1.0316
2022-12-12,1.0315
2022-12-13,1.0309
2022-12-14,1.0311
2022-12-15,1.0312
2022-12-16,1.0313
2022-12-19,1.0317
2022-12-20,1.0318
2022-12-21,1.032
2022-12-22,1.0322
2022-12-23,1.0326
2022-12-26,1.0329
2022-12-27,1.033
2022-12-28,1.0331
2022-12-29,1.0334
2022-12-30,1.0337
2022-12-31,1.0338
2023-01-03,1.0343
2023-01-04,1.0346
2023-01-05,1.0347
2023-01-06,1.0346
2023-01-09,1.0347
2023-01-10,1.0345
2023-01-11,1.0345
2023-01-12,1.0348
2023-01-13,1.0349
2023-01-16,1.035
2023-01-17,1.035
2023-01-18,1.0351
2023-01-19,1.0352
2023-01-20,1.0354
2023-01-30,1.0362
2023-01-31,1.0362
2023-02-01,1.0362
2023-02-02,1.0363
2023-02-03,1.0364
2023-02-06,1.0365
2023-02-07,1.0365
2023-02-08,1.0365
2023-02-09,1.0366
2023-02-10,1.0367
2023-02-13,1.0369
2023-02-14,1.0371
2023-02-15,1.0372
2023-02-16,1.0375
2023-02-17,1.0375
2023-02-20,1.0374
2023-02-21,1.0373
2023-02-22,1.0374
2023-02-23,1.0374
2023-02-24,1.0374
2023-02-27,1.0376
2023-02-28,1.0376
2023-03-01,1.0376
2023-03-02,1.0378
2023-03-03,1.0378
2023-03-06,1.0382
2023-03-07,1.0383
2023-03-08,1.0384
2023-03-09,1.0385
2023-03-10,1.0385
2023-03-13,1.0387
2023-03-14,1.0388
2023-03-15,1.0388
2023-03-16,1.0389
2023-03-17,1.039
2023-03-20,1.0392
2023-03-21,1.0393
2023-03-22,1.0394
2023-03-23,1.0395
2023-03-24,1.0395
2023-03-27,1.0398
2023-03-28,1.0399
2023-03-29,1.0399
2023-03-30,1.04
2023-03-31,1.0402
2023-04-03,1.0404
2023-04-04,1.0406
2023-04-06,1.0407
2023-04-07,1.0407
2023-04-10,1.0409
2023-04-11,1.041
2023-04-12,1.0411
2023-04-13,1.041
2023-04-14,1.0411
2023-04-17,1.0412
2023-04-18,1.0414
2023-04-19,1.0415
2023-04-20,1.0416
2023-04-21,1.0417
2023-04-24,1.0419
2023-04-25,1.042
2023-04-26,1.042
2023-04-27,1.0423
2023-04-28,1.0424
2023-05-04,1.0431
2023-05-05,1.0434
2023-05-08,1.0437
2023-05-09,1.0439
2023-05-10,1.0443
2023-05-11,1.0447
2023-05-12,1.0448
2023-05-15,1.0451
2023-05-16,1.0451
2023-05-17,1.0452
2023-05-18,1.0452
2023-05-19,1.0455
2023-05-22,1.0459
2023-05-23,1.0463
2023-05-24,1.0463
2023-05-25,1.0463
2023-05-26,1.0463
2023-05-29,1.0466
2023-05-30,1.0467
2023-05-31,1.0469
2023-06-01,1.0472
2023-06-02,1.0471
2023-06-05,1.0473
2023-06-06,1.0476
2023-06-07,1.0479
2023-06-08,1.0479
2023-06-09,1.048
2023-06-12,1.0482
2023-06-13,1.0485
2023-06-14,1.0487
2023-06-15,1.0485
2023-06-16,1.0482
2023-06-19,1.048
2023-06-20,1.0482
2023-06-21,1.0484
2023-06-26,1.0488
2023-06-27,1.0485
2023-06-28,1.0487
2023-06-29,1.0487
2023-06-30,1.0492
2023-07-03,1.0495
2023-07-04,1.0498
2023-07-05,1.05
2023-07-06,1.0502
2023-07-07,1.0504
2023-07-10,1.0506
2023-07-11,1.0507
2023-07-12,1.0507
2023-07-13,1.0507
2023-07-14,1.0507
2023-07-17,1.051
2023-07-18,1.0512
2023-07-19,1.0513
2023-07-20,1.0514
2023-07-21,1.0516
2023-07-24,1.0518
2023-07-25,1.0513
2023-07-26,1.0513
2023-07-27,1.0516
2023-07-28,1.0515
2023-07-31,1.0514
2023-08-01,1.0516
2023-08-02,1.0518
2023-08-03,1.0521
2023-08-04,1.0523
2023-08-07,1.0526
2023-08-08,1.0528
2023-08-09,1.0529
2023-08-10,1.0529
2023-08-11,1.0531
2023-08-14,1.0533
2023-08-15,1.0535
2023-08-16,1.0537
2023-08-17,1.0537
2023-08-18,1.0537
2023-08-21,1.0539
2023-08-22,1.0539
2023-08-23,1.0539
2023-08-24,1.054
2023-08-25,1.054
2023-08-28,1.0539
2023-08-29,1.0538
2023-08-30,1.0539
2023-08-31,1.054
2023-09-01,1.054
2023-09-04,1.0539
2023-09-05,1.054
2023-09-06,1.0539
2023-09-07,1.0535
2023-09-08,1.0532
2023-09-11,1.0531
2023-09-12,1.0533
2023-09-13,1.0535
2023-09-14,1.0536
2023-09-15,1.0537
2023-09-18,1.0537
2023-09-19,1.0537
2023-09-20,1.0538
2023-09-21,1.0539
2023-09-22,1.0541
2023-09-25,1.0542
2023-09-26,1.054
2023-09-27,1.054
2023-09-28,1.0543
2023-10-09,1.0553
2023-10-10,1.0552
2023-10-11,1.0549
2023-10-12,1.0549
2023-10-13,1.055
2023-10-16,1.0551
2023-10-17,1.0551
2023-10-18,1.0551
2023-10-19,1.055
2023-10-20,1.0549
2023-10-23,1.0551
2023-10-24,1.055
2023-10-25,1.0551
2023-10-26,1.0552
2023-10-27,1.0552
2023-10-30,1.0554
2023-10-31,1.0555
2023-11-01,1.0556
2023-11-02,1.0557
2023-11-03,1.0559
2023-11-06,1.056
2023-11-07,1.0561
2023-11-08,1.0561
2023-11-09,1.0562
2023-11-10,1.0562
2023-11-13,1.0564
2023-11-14,1.0565
2023-11-15,1.0566
2023-11-16,1.0566
2023-11-17,1.0567
2023-11-20,1.0569
2023-11-21,1.0569
2023-11-22,1.0569
2023-11-23,1.0569
2023-11-24,1.0569
2023-11-27,1.0569
2023-11-28,1.0569
2023-11-29,1.0569
2023-11-30,1.0572
2023-12-01,1.0572
2023-12-04,1.0571
2023-12-05,1.0572
2023-12-06,1.057
2023-12-07,1.0573
2023-12-08,1.0574
2023-12-11,1.0577
2023-12-12,1.0578
2023-12-13,1.0582
2023-12-14,1.0582
2023-12-15,1.0585
2023-12-18,1.0588
2023-12-19,1.0588
2023-12-20,1.0588
2023-12-21,1.0588
2023-12-22,1.0589
2023-12-25,1.0592
2023-12-26,1.0596
2023-12-27,1.06
2023-12-28,1.0605
2023-12-29,1.0607
2023-12-31,1.0608
2024-01-02,1.0607
2024-01-03,1.0607
2024-01-04,1.0607
2024-01-05,1.0608
2024-01-08,1.0611
2024-01-09,1.0612
2024-01-10,1.0612
2024-01-11,1.0612
2024-01-12,1.0612
2024-01-15,1.0614
2024-01-16,1.0614
2024-01-17,1.0615
2024-01-18,1.0618
2024-01-19,1.0623
2024-01-22,1.0636
2024-01-23,1.0636
2024-01-24,1.0636
2024-01-25,1.0637
2024-01-26,1.0639
2024-01-29,1.0643
2024-01-30,1.0657
2024-01-31,1.0667
2024-02-01,1.0668
2024-02-02,1.0668
2024-02-05,1.0681
2024-02-06,1.0681
2024-02-07,1.0683
2024-02-08,1.0685
2024-02-19,1.0692
2024-02-20,1.0695
2024-02-21,1.0699
2024-02-22,1.0701
2024-02-23,1.0703
2024-02-26,1.0711
2024-02-27,1.0716
2024-02-28,1.0717
2024-02-29,1.0729
2024-03-01,1.0725
2024-03-04,1.0727
2024-03-05,1.0726
2024-03-06,1.0736
2024-03-07,1.0741
2024-03-08,1.0742
2024-03-11,1.0737
2024-03-12,1.0742
2024-03-13,1.0741
2024-03-14,1.074
2024-03-15,1.0741
2024-03-18,1.0743
2024-03-19,1.0748
2024-03-20,1.0747
2024-03-21,1.0748
2024-03-22,1.0748
2024-03-25,1.0749
2024-03-26,1.0749
2024-03-27,1.0751
2024-03-28,1.0754
2024-03-29,1.0756
2024-04-01,1.0757
2024-04-02,1.076
2024-04-03,1.0764
